Country Name insrael,Country ISO3,Year,Indicator Name,Indicator Code,Value finaly israel,id Palestine numbers,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_start_date,event_end_date
Israel,ISR,1960,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,89000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1960,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,528.089.887.640.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1960,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,292.134.831.460.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,737.659.319.269.645,157866,Palestine,PSE,3.231.115,3.502.755,"[32.31115, 35.02755]",Recommended figure,Conflict,total,5,7/8/2024,7/8/2024,7/8/2024,2024,25910,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/07/2024,2024-07-01,7/31/2024
Israel,ISR,1961,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,291.390.728.476.821,148834,Palestine,PSE,3.128.108,34.281.059,"[31.28108, 34.281059]",Triangulation,Conflict,less than or equal to,815000,5/19/2024,5/6/2024,5/19/2024,2024,20616,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,2024-01-01,12/31/2024
Israel,ISR,1961,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,757000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,927.152.317.880.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,606000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,151000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,823000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,496.688.741.721.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,119.205.298.013.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-396000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,1961,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-366000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
